id,name
1,"Продажи, обслуживание клиентов"
10,"Транспорт, логистика, перевозки"
11,Информационные технологии
12,"Управление персоналом, тренинги"
13,Юристы
14,Закупки
15,Безопасность
16,"Домашний, обслуживающий персонал"
17,Рабочий персонал
18,"Строительство, недвижимость"
19,Автомобильный бизнес
2,Розничная торговля
20,"Туризм, гостиницы, рестораны"
21,"Спортивные клубы, фитнес, салоны красоты"
22,Страхование
23,"Медицина, фармацевтика"
24,"Искусство, развлечения, массмедиа"
25,"Наука, образование"
26,Высший и средний менеджмент
27,Другое
3,"Финансы, бухгалтерия"
4,"Стратегия, инвестиции, консалтинг"
5,Административный персонал
6,"Маркетинг, реклама, PR"
7,"Производство, сервисное обслуживание"
8,Добыча сырья
9,Сельское хозяйство
